src_subject_id,session_id,param_trigger_onset,administer,duration,temperature,plateau,sequence,jitter1,jitter2,event01_fixation_onset,event04_fixation_onset,event04_fixation_duration,event05_administer_displayonset,event06_actual_onset,event06_actual_responseonset,event06_actual_RT,param_end_instruct_onset,param_experiment_duration,fixed_ITI,event02_fixation_onset,delay_between_medoc,event06_actual_displayonset
5,30,858414.2880265,149,8,48,3,3,1.9,0.5,858417.0526855,858439.0964212,0,858439.1569119,0,NaN,NaN,0,0,19.5,858419.5923743,0.0515387000050396,858448.1054134
5,30,858414.2880265,147,8,46,3,11,1.9,0.5,858452.1223925,858473.7074675,0,858474.1089672,0,NaN,NaN,0,0,19.5,858454.2040472,0.0833825999870896,858483.0280324
5,30,858414.2880265,147,8,46,3,5,3,0.6,858487.0439539,858509.7516255,0,858510.2030013,0,858521.6528912,2.50390419992618,0,0,19.5,858490.2486055,0.0556695000268519,858519.1489759
5,30,858414.2880265,149,8,48,3,6,3.4,0.6,858523.1680269,858546.668997,0,858546.7019129,0,NaN,NaN,0,0,19.5,858527.1659539,0.0277022999944165,858555.6751199
5,30,858414.2880265,145,8,44,3,1,2.2,0.8,858559.6907962,858581.5437014,0,858582.2821641,0,858592.615042,1.41902520006988,0,0,19.5,858562.0401213,0.0781212999718264,858591.1960136
5,30,858414.2880265,145,8,44,3,4,1.3,0.8,858595.2152941,858616.221463,0,858616.8832955,0,858627.4830433,1.66218360001221,0,0,19.5,858596.7180271,0.0544259001035243,858625.8208496
5,30,858414.2880265,149,8,48,3,9,1.1,0.6,858629.8404227,858651.0483591,0,858651.1228874,0,858662.4845202,2.43025089998264,0,0,19.5,858631.5449428,0.0684812000254169,858660.0542591
5,30,858414.2880265,149,8,48,3,12,1.1,0.7,858664.0740437,858685.3401275,0,858685.434857,0,858696.7896005,2.40996449999511,0,0,19.5,858665.8368298,0.055137800052762,858694.379626
5,30,858414.2880265,147,8,46,3,8,3,1.9,858698.3975291,858721.5106411,0,858722.8772624,0,858734.3891169,2.58672989998013,0,0,19.5,858702.0067704,0.0733476000605151,858731.8023839
5,30,858414.2880265,147,8,46,3,2,2.5,0.5,858735.822333,858758.0114597,0,858758.3825953,0,858769.4284018,2.10074259992689,0,0,19.5,858738.5084544,0.0569858000380918,858767.3276559
5,30,858414.2880265,145,8,44,3,7,1.6,2.7,858771.346837,858793.1144781,0,858795.2354253,0,858806.5152843,2.36297100002412,0,0,19.5,858773.6111707,0.0850171999773011,858804.1523098
5,30,858414.2880265,145,8,44,3,10,2.2,0.7,858808.1716553,858830.0536292,0,858830.600411,0,858842.0297378,2.45303380000405,0,0,19.5,858810.5505742,0.0237526999553666,858839.5766937
