src_subject_id,session_id,param_trigger_onset,administer,duration,temperature,plateau,sequence,jitter1,jitter2,event01_fixation_onset,event04_fixation_onset,event04_fixation_duration,event05_administer_displayonset,event06_actual_onset,event06_actual_biopac,event06_actual_responseonset,event06_actual_RT,param_end_instruct_onset,param_experiment_duration,fixed_ITI,event02_fixation_onset,delay_between_medoc,event06_actual_displayonset
98,16,690688.4661779,34,13,46,10,14,1.4,1,690691.2613377,690720.9004221,0,690721.7289473,0,0,NaN,NaN,0,0,28,690692.8965668,0.0609486000612378,690735.6820938
98,16,690688.4661779,35,13,47,10,27,1.1,0.6,690739.7936273,690769.1166486,0,690769.5852279,0,0,NaN,NaN,0,0,28,690741.113495,0.0881241000024602,690783.5048117
98,16,690688.4661779,36,13,48,10,28,2.2,0.7,690787.5389864,690817.8884467,0,690818.4821814,0,0,NaN,NaN,0,0,28,690789.8845028,0.0380707000149414,690832.4461707
98,16,690688.4661779,33,13,45,10,13,1.4,2.9,690836.473161,690866.0086631,0,690868.809032,0,0,NaN,NaN,0,0,28,690838.0051952,0.0301524000242352,690882.7794984
98,16,690688.4661779,36,13,48,10,4,2.5,0.6,690886.8065971,690917.460481,0,690917.9567683,0,0,NaN,NaN,0,0,28,690889.4561245,0.0448429000098258,690931.9198301
98,16,690688.4661779,151,8,50,3,36,1.6,0.7,690935.9690519,690943.2540627,0,690943.3656417,0,0,NaN,NaN,0,0,5,690938.2506467,0.0914584000129253,690952.2725632
98,16,690688.4661779,146,8,45,3,19,2.2,0.8,690956.2883403,690964.0341155,0,690964.3198052,0,0,NaN,NaN,0,0,5,690959.0304926,0.0285184000385925,690973.2937511
98,16,690688.4661779,148,8,47,3,33,1.6,1,690977.3078566,690984.087466,0,690984.948933,0,0,NaN,NaN,0,0,5,690979.0838034,0.0363783000502735,690993.9131483
98,16,690688.4661779,146,8,45,3,31,2.2,2.3,690997.9293101,691005.3012048,0,691007.4713464,0,0,NaN,NaN,0,0,5,691000.2977484,0.0388848000438884,691016.4341606
98,16,690688.4661779,148,8,47,3,21,1.9,0.5,691020.4479094,691027.5233463,0,691027.8751987,0,0,NaN,NaN,0,0,5,691022.5198435,0.0217864000005648,691036.8532944
98,16,690688.4661779,37,13,49,10,29,1.9,0.5,691040.8664778,691071.4303056,0,691071.4922633,0,0,NaN,NaN,0,0,28,691043.4271981,0.0567517000017688,691085.4356398
98,16,690688.4661779,149,8,48,3,10,2,2.7,691089.4485899,691096.6118136,0,691099.2202244,0,0,NaN,NaN,0,0,5,691091.6084181,0.0683062000898644,691108.1539043
98,16,690688.4661779,37,13,49,10,17,1.9,0.9,691112.1670633,691142.2262291,0,691143.0226743,0,0,NaN,NaN,0,0,28,691114.2230212,0.0491132999304682,691156.9722977
98,16,690688.4661779,150,8,49,3,35,1.2,1.9,691160.9868709,691167.3548714,0,691169.1532035,0,0,NaN,NaN,0,0,5,691162.351877,0.0617358000017703,691178.0921778
98,16,690688.4661779,33,13,45,10,1,1.6,0.6,0,0,0,0,0,0,0,0,0,0,28,0,0,0
98,16,690688.4661779,38,9,50,5,6,1.9,0.5,0,0,0,0,0,0,0,0,0,0,28,0,0,0
98,16,690688.4661779,37,13,49,10,5,1.9,2.4,0,0,0,0,0,0,0,0,0,0,28,0,0,0
98,16,690688.4661779,35,13,47,10,15,1.1,0.7,0,0,0,0,0,0,0,0,0,0,28,0,0,0
98,16,690688.4661779,149,8,48,3,22,1.3,0.8,0,0,0,0,0,0,0,0,0,0,5,0,0,0
98,16,690688.4661779,34,13,46,10,26,3,1.9,0,0,0,0,0,0,0,0,0,0,28,0,0,0
98,16,690688.4661779,38,9,50,5,18,1.8,0.6,0,0,0,0,0,0,0,0,0,0,28,0,0,0
98,16,690688.4661779,146,8,45,3,7,2.7,0.5,0,0,0,0,0,0,0,0,0,0,5,0,0,0
98,16,690688.4661779,151,8,50,3,12,1.2,0.8,0,0,0,0,0,0,0,0,0,0,5,0,0,0
98,16,690688.4661779,150,8,49,3,11,2,0.7,0,0,0,0,0,0,0,0,0,0,5,0,0,0
98,16,690688.4661779,150,8,49,3,23,3,0.6,0,0,0,0,0,0,0,0,0,0,5,0,0,0
98,16,690688.4661779,147,8,46,3,8,3.2,0.6,0,0,0,0,0,0,0,0,0,0,5,0,0,0
98,16,690688.4661779,147,8,46,3,20,2.5,0.5,0,0,0,0,0,0,0,0,0,0,5,0,0,0
98,16,690688.4661779,148,8,47,3,9,3,0.5,0,0,0,0,0,0,0,0,0,0,5,0,0,0
98,16,690688.4661779,34,13,46,10,2,2.9,0.6,0,0,0,0,0,0,0,0,0,0,28,0,0,0
98,16,690688.4661779,35,13,47,10,3,3,0.5,0,0,0,0,0,0,0,0,0,0,28,0,0,0
98,16,690688.4661779,147,8,46,3,32,1,0.5,0,0,0,0,0,0,0,0,0,0,5,0,0,0
98,16,690688.4661779,38,9,50,5,30,1.1,0.7,0,0,0,0,0,0,0,0,0,0,28,0,0,0
98,16,690688.4661779,151,8,50,3,24,3.4,0.6,0,0,0,0,0,0,0,0,0,0,5,0,0,0
98,16,690688.4661779,149,8,48,3,34,1,1.3,0,0,0,0,0,0,0,0,0,0,5,0,0,0
98,16,690688.4661779,33,13,45,10,25,1.6,2.7,0,0,0,0,0,0,0,0,0,0,28,0,0,0
98,16,690688.4661779,36,13,48,10,16,3.1,0.5,0,0,0,0,0,0,0,0,0,0,28,0,0,0
