src_subject_id,session_id,param_trigger_onset,administer,duration,temperature,plateau,sequence,jitter1,jitter2,event01_fixation_onset,event04_fixation_onset,event04_fixation_duration,event05_administer_displayonset,event06_actual_onset,event06_actual_responseonset,event06_actual_RT,param_end_instruct_onset,param_experiment_duration,fixed_ITI,event02_fixation_onset,delay_between_medoc,event06_actual_displayonset
3,30,864194.0733025,147,8,46,3,2,2.5,0.5,864196.8377069,864219.5251379,0,864219.5581849,0,864231.5656197,3.03120979992673,0,0,19.5,864200.02109,0.0254437000257894,864228.5344065
3,30,864194.0733025,145,8,44,3,1,2.2,0.8,864232.5541039,864254.4667717,0,864255.0923854,0,864266.6797354,2.62043619994074,0,0,19.5,864234.9637058,0.0342767001129687,864264.059296
3,30,864194.0733025,145,8,44,3,7,1.6,2.7,864268.0778979,864289.8075101,0,864291.9207635,0,864303.2618541,2.37874179997016,0,0,19.5,864270.3039211,0.0365267999004573,864300.8831091
3,30,864194.0733025,149,8,48,3,9,1.1,0.6,864304.9022859,864326.1380212,0,864326.1788097,0,864338.1674788,3.02399999997579,0,0,19.5,864306.6348791,0.0372745000058785,864335.143475
3,30,864194.0733025,147,8,46,3,5,3,0.6,864339.1622683,864362.3788032,0,864362.4232621,0,864374.2783357,2.89371520001441,0,0,19.5,864342.8756979,0.0410065000178292,864371.3846107
3,30,864194.0733025,149,8,48,3,3,1.9,0.5,864375.4027858,864397.4666641,0,864397.524547,0,864410.2555279,3.78350140003022,0,0,19.5,864377.963732,0.0519595000660047,864406.4720232
3,30,864194.0733025,145,8,44,3,10,2.2,0.7,864410.7752321,864433.2237286,0,864433.2643868,0,864445.0072343,2.77816670003813,0,0,19.5,864413.7206284,0.0372233999660239,864442.2290644
3,30,864194.0733025,149,8,48,3,6,3.4,0.6,864446.2460465,864469.757659,0,864469.7931473,0,864482.068736,3.3055280999979,0,0,19.5,864450.2538953,0.0298026000382379,864478.7632044
3,30,864194.0733025,147,8,46,3,11,1.9,0.5,864482.7818636,864504.3935062,0,864504.7491783,0,864516.4321486,2.74553890002426,0,0,19.5,864484.8901771,0.0624449000461027,864513.6865998
3,30,864194.0733025,147,8,46,3,8,3,1.9,864517.705945,864540.3727474,0,864542.1987415,0,864554.3740724,3.26290650002193,0,0,19.5,864520.8696975,0.0895798999117687,864551.1111623
3,30,864194.0733025,149,8,48,3,12,1.1,0.7,864555.1297624,864575.8984131,0,864576.5113629,0,864587.932516,2.49736300006043,0,0,19.5,864556.3955019,0.0785308999475092,864585.4351429
3,30,864194.0733025,145,8,44,3,4,1.3,0.8,864589.4547359,864610.9507962,0,864611.0963712,0,864623.150961,3.09121420001611,0,0,19.5,864591.4474904,0.0367123000323772,864620.0597358
